date,open,high,low,close,volume
2025-09-01 00:00:00,347.6,351.5,339.5,341.4,1380
2025-09-02 00:00:00,342.8,344.4,336.9,339.7,1353
2025-09-03 00:00:00,342.8,352.0,341.0,345.3,1786
2025-09-04 00:00:00,347.8,350.5,342.0,346.9,1730
2025-09-05 00:00:00,347.3,349.0,341.5,342.3,1174
2025-09-08 00:00:00,347.2,349.2,342.6,344.2,2243
2025-09-09 00:00:00,344.0,348.0,340.4,342.9,2242
2025-09-10 00:00:00,343.0,344.2,338.4,341.7,1625
2025-09-11 00:00:00,341.1,344.1,339.6,339.9,1857
2025-09-12 00:00:00,340.0,341.9,336.2,338.5,2324
2025-09-15 00:00:00,338.9,340.7,334.1,339.9,2013
2025-09-16 00:00:00,340.8,348.6,339.8,347.7,3503
2025-09-17 00:00:00,347.6,352.3,345.6,348.6,2490
2025-09-18 00:00:00,348.0,349.1,340.3,340.7,3009
2025-09-19 00:00:00,340.1,343.5,336.5,338.9,3450
2025-09-22 00:00:00,343.5,343.5,332.0,332.7,4972
2025-09-23 00:00:00,332.0,334.7,330.0,333.8,4179
2025-09-24 00:00:00,334.0,336.0,330.0,333.4,5027
2025-09-25 00:00:00,334.2,343.3,333.3,338.6,8651
2025-09-26 00:00:00,341.7,343.7,335.1,339.6,9294
2025-09-29 00:00:00,337.6,347.8,337.1,344.9,13163
2025-09-30 00:00:00,345.0,351.2,344.1,347.7,10123
2025-10-01 00:00:00,348.2,361.4,346.6,359.3,15544
2025-10-03 00:00:00,359.5,365.8,356.1,359.9,12420
2025-10-06 00:00:00,364.7,371.0,355.4,357.4,16024
2025-10-07 00:00:00,359.3,364.6,355.2,362.9,13544
2025-10-08 00:00:00,364.7,370.2,355.7,356.4,15310
2025-10-09 00:00:00,355.1,357.6,347.8,348.3,15799
2025-10-10 00:00:00,347.6,347.6,336.4,337.0,12724
2025-10-13 00:00:00,339.8,340.8,329.6,334.8,12519
2025-10-14 00:00:00,334.7,335.8,327.8,329.3,11614
2025-10-15 00:00:00,327.2,330.2,320.3,322.5,11408
2025-10-16 00:00:00,323.2,328.5,320.8,322.0,13610
2025-10-17 00:00:00,319.2,330.6,316.1,328.9,15292
2025-10-20 00:00:00,333.5,355.3,333.5,354.3,25394
2025-10-21 00:00:00,351.4,354.1,350.4,352.5,3633
2025-10-22 00:00:00,353.4,361.2,353.3,358.8,27087
2025-10-23 00:00:00,355.4,362.8,352.1,356.5,52114
2025-10-24 00:00:00,353.3,356.4,344.8,345.9,59312
2025-10-27 00:00:00,349.4,358.7,346.0,354.8,106844
2025-10-28 00:00:00,353.1,353.1,340.2,341.7,96684
2025-10-29 00:00:00,340.0,342.0,332.3,338.7,120239
2025-10-30 00:00:00,337.6,349.9,336.1,348.5,137751
2025-10-31 00:00:00,352.2,368.8,352.2,364.8,158231
2025-11-03 00:00:00,365.3,381.7,362.2,378.3,159170
2025-11-04 00:00:00,375.8,389.4,371.6,388.1,152359
2025-11-05 00:00:00,381.6,385.8,374.2,377.2,107290
2025-11-06 00:00:00,379.4,384.4,372.6,380.7,137929
2025-11-07 00:00:00,387.2,392.2,379.0,385.9,143022
2025-11-10 00:00:00,389.4,400.0,378.7,382.0,133814
2025-11-11 00:00:00,386.9,404.3,379.0,401.0,169220
2025-11-12 00:00:00,402.0,407.0,395.6,398.0,145918
2025-11-13 00:00:00,401.2,414.2,395.5,413.9,134194
