date,open,high,low,close,volume
2025-09-01 09:00:00,347.6,348.2,346.0,347.8,157
2025-09-01 10:00:00,347.6,349.3,347.6,349.3,75
2025-09-01 11:00:00,349.3,351.5,349.3,349.6,199
2025-09-01 12:00:00,349.6,350.7,349.2,349.4,50
2025-09-01 13:00:00,349.4,349.7,349.0,349.5,40
2025-09-01 14:00:00,349.5,349.5,348.1,348.4,30
2025-09-01 15:00:00,348.4,349.3,348.4,349.2,18
2025-09-01 16:00:00,349.2,350.0,349.0,349.6,28
2025-09-01 17:00:00,349.6,349.9,346.5,347.0,62
2025-09-01 18:00:00,347.0,347.0,342.0,342.7,183
2025-09-01 19:00:00,342.7,343.7,342.0,342.6,129
2025-09-01 20:00:00,342.6,343.4,341.1,342.0,130
2025-09-01 21:00:00,342.0,342.0,339.5,340.1,187
2025-09-01 22:00:00,340.1,341.3,340.0,341.3,46
2025-09-01 23:00:00,341.0,342.3,340.7,341.3,45
2025-09-02 09:00:00,342.8,343.2,341.9,342.0,93
2025-09-02 10:00:00,342.0,342.2,341.8,342.0,16
2025-09-02 11:00:00,342.0,343.4,342.0,343.1,84
2025-09-02 12:00:00,343.1,343.2,342.0,342.9,51
2025-09-02 13:00:00,342.9,343.5,342.9,343.4,20
2025-09-02 14:00:00,343.4,344.4,343.3,344.2,19
2025-09-02 15:00:00,344.2,344.2,342.8,342.9,67
2025-09-02 16:00:00,342.9,343.3,340.3,340.5,49
2025-09-02 17:00:00,340.5,342.0,337.5,339.0,223
2025-09-02 18:00:00,339.0,341.5,336.9,341.5,242
2025-09-02 19:00:00,341.5,342.4,339.4,339.7,139
2025-09-02 20:00:00,339.7,340.3,338.9,340.0,47
2025-09-02 21:00:00,340.0,343.6,340.0,340.8,119
2025-09-02 22:00:00,340.8,341.4,338.5,339.0,140
2025-09-02 23:00:00,339.0,340.5,339.0,339.8,43
2025-09-03 09:00:00,342.8,343.3,342.6,343.3,86
2025-09-03 10:00:00,343.3,343.6,342.6,342.6,53
2025-09-03 11:00:00,342.6,343.3,341.4,343.3,38
2025-09-03 12:00:00,343.3,344.0,342.5,343.6,58
2025-09-03 13:00:00,343.6,343.6,342.0,342.1,26
2025-09-03 14:00:00,342.1,343.0,341.7,341.9,24
2025-09-03 15:00:00,341.9,342.9,341.0,341.2,72
2025-09-03 16:00:00,341.2,347.0,341.2,347.0,162
2025-09-03 17:00:00,347.0,350.5,345.8,349.9,433
2025-09-03 18:00:00,349.9,352.0,348.7,348.7,239
2025-09-03 19:00:00,348.7,350.2,347.5,348.8,169
2025-09-03 20:00:00,348.8,349.5,346.8,347.6,112
2025-09-03 21:00:00,347.6,348.1,345.6,346.2,71
2025-09-03 22:00:00,346.2,347.0,345.6,345.6,154
2025-09-03 23:00:00,345.6,346.3,344.8,345.5,84
2025-09-04 09:00:00,347.8,347.8,346.5,347.1,75
2025-09-04 10:00:00,347.1,347.6,347.1,347.2,21
2025-09-04 11:00:00,347.2,348.3,346.8,348.2,104
2025-09-04 12:00:00,348.2,348.9,347.8,348.5,29
2025-09-04 13:00:00,348.5,349.0,347.8,347.9,66
2025-09-04 14:00:00,347.9,348.6,347.9,348.4,34
2025-09-04 15:00:00,348.4,348.4,346.8,347.9,64
2025-09-04 16:00:00,347.9,349.5,347.0,347.6,161
2025-09-04 17:00:00,347.6,349.0,347.4,349.0,77
2025-09-04 18:00:00,349.0,349.1,345.7,347.4,110
2025-09-04 19:00:00,347.4,347.4,345.1,346.4,187
2025-09-04 20:00:00,346.4,349.4,342.0,349.4,453
